/scratch/m25cse012/DL_Assignment_PSSI_COPY/DL_Mini_project/train.py:44: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  criterion, scaler = HybridLoss(torch.ones(21).to(device)), GradScaler()
/scratch/m25cse012/DL_Assignment_PSSI_COPY/DL_Mini_project/train.py:52: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
Epoch 01 | Loss: 1.7435 | Dice: 0.6741 | GFLOPs: 0.241
Epoch 02 | Loss: 1.4478 | Dice: 0.6990 | GFLOPs: 0.241
Epoch 03 | Loss: 1.3691 | Dice: 0.7324 | GFLOPs: 0.241
Epoch 04 | Loss: 1.3287 | Dice: 0.7522 | GFLOPs: 0.241
Epoch 05 | Loss: 1.3016 | Dice: 0.7457 | GFLOPs: 0.241
Epoch 06 | Loss: 1.2783 | Dice: 0.7633 | GFLOPs: 0.241
Epoch 07 | Loss: 1.2599 | Dice: 0.7689 | GFLOPs: 0.241
Epoch 08 | Loss: 1.2472 | Dice: 0.7487 | GFLOPs: 0.241
Epoch 09 | Loss: 1.2332 | Dice: 0.7542 | GFLOPs: 0.241
Epoch 10 | Loss: 1.2217 | Dice: 0.7278 | GFLOPs: 0.241
Epoch 11 | Loss: 1.2110 | Dice: 0.7505 | GFLOPs: 0.241
Epoch 12 | Loss: 1.2046 | Dice: 0.7664 | GFLOPs: 0.241
Epoch 13 | Loss: 1.1959 | Dice: 0.7592 | GFLOPs: 0.241
Epoch 14 | Loss: 1.1909 | Dice: 0.7531 | GFLOPs: 0.241
Epoch 15 | Loss: 1.1826 | Dice: 0.7492 | GFLOPs: 0.241
Epoch 16 | Loss: 1.1767 | Dice: 0.7592 | GFLOPs: 0.241
Epoch 17 | Loss: 1.1701 | Dice: 0.7442 | GFLOPs: 0.241
Epoch 18 | Loss: 1.1661 | Dice: 0.7709 | GFLOPs: 0.241
Epoch 19 | Loss: 1.1628 | Dice: 0.7558 | GFLOPs: 0.241
Epoch 20 | Loss: 1.1561 | Dice: 0.7677 | GFLOPs: 0.241
Epoch 21 | Loss: 1.1528 | Dice: 0.7429 | GFLOPs: 0.241
Epoch 22 | Loss: 1.1486 | Dice: 0.7485 | GFLOPs: 0.241
Epoch 23 | Loss: 1.1466 | Dice: 0.7506 | GFLOPs: 0.241
Epoch 24 | Loss: 1.1416 | Dice: 0.7295 | GFLOPs: 0.241
Epoch 25 | Loss: 1.1381 | Dice: 0.7485 | GFLOPs: 0.241
Epoch 26 | Loss: 1.1348 | Dice: 0.7450 | GFLOPs: 0.241
Epoch 27 | Loss: 1.1329 | Dice: 0.7518 | GFLOPs: 0.241
Epoch 28 | Loss: 1.1306 | Dice: 0.7257 | GFLOPs: 0.241
Epoch 29 | Loss: 1.1276 | Dice: 0.7498 | GFLOPs: 0.241
